SCORE_DATE,COMPANY_ID,SCORE,SCORE_TYPE
2020-01-07 23:28:51,IJ9CAU8V7J7C,5,X
2018-02-17 23:28:51,IJ9CAU8V7J7C,5,Y
2017-11-14 23:28:51,IJ9CAU8V7J7C,5,Y
2025-01-18 23:28:51,IJ9CAU8V7J7C,0,X
2020-04-05 23:28:51,IJ9CAU8V7J7C,3,Y
2023-12-15 23:28:51,IJ9CAU8V7J7C,2,X
2018-03-22 23:28:51,IJ9CAU8V7J7C,2,X
2016-12-13 23:28:51,IJ9CAU8V7J7C,3,X
2016-12-27 23:28:51,IJ9CAU8V7J7C,4,Y
2021-11-08 23:28:51,IJ9CAU8V7J7C,1,Y
2017-05-15 23:28:51,IJ9CAU8V7J7C,3,Y
2017-05-29 23:28:51,IJ9CAU8V7J7C,0,Y
2016-08-21 23:28:51,IJ9CAU8V7J7C,1,Y
2021-01-06 23:28:51,IJ9CAU8V7J7C,5,X
2017-11-13 23:28:51,IJ9CAU8V7J7C,4,Y
2016-04-06 23:28:51,IJ9CAU8V7J7C,5,Y
2016-09-04 23:28:51,IJ9CAU8V7J7C,0,Y
2021-03-02 23:28:51,IJ9CAU8V7J7C,2,Y
2023-08-02 23:28:51,79RBQJM6PG6Q,0,X
2019-06-01 23:28:51,79RBQJM6PG6Q,3,X
2016-09-27 23:28:51,79RBQJM6PG6Q,4,X
2022-04-23 23:28:51,79RBQJM6PG6Q,1,Y
2016-11-21 23:28:51,79RBQJM6PG6Q,5,X
2020-08-13 23:28:51,79RBQJM6PG6Q,2,Y
2021-02-15 23:28:51,79RBQJM6PG6Q,0,Y
2021-08-18 23:28:51,79RBQJM6PG6Q,1,Y
2022-10-28 23:28:51,79RBQJM6PG6Q,4,X
2021-11-19 23:28:51,79RBQJM6PG6Q,1,Y
2018-02-11 23:28:51,79RBQJM6PG6Q,4,X
2019-12-16 23:28:51,79RBQJM6PG6Q,1,Y
2019-09-06 23:28:51,79RBQJM6PG6Q,5,Y
2018-09-20 23:28:51,79RBQJM6PG6Q,1,Y
2022-04-03 23:28:51,79RBQJM6PG6Q,3,X
2022-07-29 23:28:51,79RBQJM6PG6Q,5,Y
2021-12-10 23:28:51,79RBQJM6PG6Q,0,X
2024-11-14 23:28:51,79RBQJM6PG6Q,2,X
2021-02-12 23:28:51,79RBQJM6PG6Q,2,Y
2016-09-12 23:28:51,79RBQJM6PG6Q,0,X
2024-10-19 23:28:51,79RBQJM6PG6Q,3,Y
2015-02-03 23:28:51,79RBQJM6PG6Q,1,X
2018-08-04 23:28:51,79RBQJM6PG6Q,2,Y
2017-03-23 23:28:51,79RBQJM6PG6Q,0,X
2022-05-27 23:28:51,79RBQJM6PG6Q,4,X
2022-12-08 23:28:51,79RBQJM6PG6Q,0,Y
2022-12-04 23:28:51,79RBQJM6PG6Q,4,Y
2023-03-14 23:28:51,79RBQJM6PG6Q,1,Y
2019-09-01 23:28:51,79RBQJM6PG6Q,4,X
2022-04-19 23:28:51,79RBQJM6PG6Q,3,X
2019-11-25 23:28:51,79RBQJM6PG6Q,5,Y
2016-05-27 23:28:51,79RBQJM6PG6Q,4,X
2024-02-28 23:28:51,79RBQJM6PG6Q,0,Y
2018-02-21 23:28:51,79RBQJM6PG6Q,1,X
2020-02-14 23:28:51,79RBQJM6PG6Q,0,X
2020-11-09 23:28:51,79RBQJM6PG6Q,4,X
2015-07-02 23:28:51,79RBQJM6PG6Q,4,X
2022-03-19 23:28:51,998ELIWH990S,1,Y
2021-04-19 23:28:51,998ELIWH990S,4,X
2016-02-05 23:28:51,998ELIWH990S,3,Y
2019-02-11 23:28:51,998ELIWH990S,3,X
2024-12-30 23:28:51,998ELIWH990S,1,X
2016-12-20 23:28:51,998ELIWH990S,4,X
2024-12-06 23:28:51,998ELIWH990S,2,Y
2015-11-26 23:28:51,998ELIWH990S,0,X
2017-02-13 23:28:51,998ELIWH990S,5,X
2020-01-17 23:28:51,998ELIWH990S,3,X
2021-09-17 23:28:51,998ELIWH990S,4,X
2019-01-05 23:28:51,998ELIWH990S,1,X
2021-01-27 23:28:51,998ELIWH990S,1,X
2016-01-12 23:28:51,998ELIWH990S,3,X
2020-06-03 23:28:51,998ELIWH990S,2,Y
2022-08-27 23:28:51,998ELIWH990S,3,Y
2019-03-25 23:28:51,998ELIWH990S,1,X
2020-10-31 23:28:51,998ELIWH990S,2,X
2018-02-05 23:28:51,998ELIWH990S,3,Y
2023-03-16 23:28:51,998ELIWH990S,2,Y
2017-03-13 23:28:51,998ELIWH990S,1,Y
2023-01-29 23:28:51,998ELIWH990S,4,X
2015-05-20 23:28:51,998ELIWH990S,3,Y
2022-05-01 23:28:51,998ELIWH990S,2,Y
2015-11-26 23:28:51,998ELIWH990S,2,Y
2020-07-07 23:28:51,998ELIWH990S,2,Y
2016-10-11 23:28:51,998ELIWH990S,5,Y
2015-07-05 23:28:51,998ELIWH990S,5,X
2015-08-13 23:28:51,998ELIWH990S,0,X
2021-11-19 23:28:51,998ELIWH990S,3,Y
2017-03-30 23:28:51,998ELIWH990S,4,X
2021-01-13 23:28:51,998ELIWH990S,4,Y
2024-11-01 23:28:51,998ELIWH990S,0,Y
2019-01-19 23:28:51,A2HM0ZENB4CD,3,Y
2018-09-27 23:28:51,A2HM0ZENB4CD,2,X
2021-10-26 23:28:51,A2HM0ZENB4CD,2,X
2024-06-16 23:28:51,A2HM0ZENB4CD,2,Y
2020-05-25 23:28:51,A2HM0ZENB4CD,0,X
2023-05-31 23:28:51,A2HM0ZENB4CD,0,X
2021-01-05 23:28:51,A2HM0ZENB4CD,1,Y
2020-02-19 23:28:51,A2HM0ZENB4CD,1,Y
2024-05-20 23:28:51,A2HM0ZENB4CD,1,X
2020-10-31 23:28:51,A2HM0ZENB4CD,1,X
2017-05-19 23:28:51,A2HM0ZENB4CD,5,Y
2024-11-14 23:28:51,A2HM0ZENB4CD,1,X
2021-03-31 23:28:51,A2HM0ZENB4CD,3,X
2022-04-01 23:28:51,A2HM0ZENB4CD,5,X
2023-10-16 23:28:51,A2HM0ZENB4CD,1,Y
2017-01-15 23:28:51,A2HM0ZENB4CD,0,X
2017-12-11 23:28:51,A2HM0ZENB4CD,3,X
2019-01-21 23:28:51,A2HM0ZENB4CD,1,X
2019-12-16 23:28:51,A2HM0ZENB4CD,2,Y
2022-02-08 23:28:51,A2HM0ZENB4CD,4,Y
2017-08-03 23:28:51,A2HM0ZENB4CD,0,Y
2017-01-09 23:28:51,A2HM0ZENB4CD,1,Y
2023-06-08 23:28:51,A2HM0ZENB4CD,5,X
2024-07-30 23:28:51,A2HM0ZENB4CD,5,X
2016-11-04 23:28:51,A2HM0ZENB4CD,0,Y
2022-04-01 23:28:51,A2HM0ZENB4CD,4,X
2016-11-12 23:28:51,A2HM0ZENB4CD,2,Y
2022-03-03 23:28:51,A2HM0ZENB4CD,1,Y
2015-11-11 23:28:51,957P7K4IWZ84,5,X
2020-12-05 23:28:51,957P7K4IWZ84,4,X
2022-03-13 23:28:51,957P7K4IWZ84,1,Y
2016-06-05 23:28:51,957P7K4IWZ84,1,X
2022-08-04 23:28:51,957P7K4IWZ84,3,X
2016-08-16 23:28:51,957P7K4IWZ84,2,Y
2019-08-23 23:28:51,957P7K4IWZ84,5,Y
2025-01-09 23:28:51,957P7K4IWZ84,4,Y
2017-12-20 23:28:51,957P7K4IWZ84,4,Y
2023-04-08 23:28:51,957P7K4IWZ84,0,X
2017-09-20 23:28:51,957P7K4IWZ84,2,X
2024-01-10 23:28:51,957P7K4IWZ84,5,X
2017-02-18 23:28:51,957P7K4IWZ84,1,Y
2018-01-05 23:28:51,957P7K4IWZ84,1,Y
2018-09-02 23:28:51,957P7K4IWZ84,2,X
2015-05-09 23:28:51,957P7K4IWZ84,5,Y
2015-03-08 23:28:51,957P7K4IWZ84,4,X
2015-09-28 23:28:51,957P7K4IWZ84,2,Y
2015-11-06 23:28:51,957P7K4IWZ84,1,Y
2024-09-26 23:28:51,957P7K4IWZ84,4,X
2021-01-03 23:28:51,957P7K4IWZ84,2,Y
2019-07-06 23:28:51,957P7K4IWZ84,5,Y
2017-02-22 23:28:51,957P7K4IWZ84,1,X
2021-10-12 23:28:51,957P7K4IWZ84,1,X
2018-04-19 23:28:51,957P7K4IWZ84,3,X
2015-11-16 23:28:51,957P7K4IWZ84,1,Y
2024-03-22 23:28:51,957P7K4IWZ84,5,X
2022-05-23 23:28:51,957P7K4IWZ84,0,Y
2022-03-17 23:28:51,957P7K4IWZ84,3,Y
2019-03-31 23:28:51,957P7K4IWZ84,2,X
2023-04-30 23:28:51,957P7K4IWZ84,4,X
2022-06-18 23:28:51,957P7K4IWZ84,2,X
2022-09-23 23:28:51,957P7K4IWZ84,3,X
2022-08-29 23:28:51,957P7K4IWZ84,1,Y
2023-06-25 23:28:51,957P7K4IWZ84,2,Y
2017-01-26 23:28:51,957P7K4IWZ84,1,X
2024-02-25 23:28:51,957P7K4IWZ84,0,X
2023-08-22 23:28:51,957P7K4IWZ84,3,X
2018-09-15 23:28:51,957P7K4IWZ84,5,X
2016-04-25 23:28:51,957P7K4IWZ84,5,Y
2020-03-23 23:28:51,957P7K4IWZ84,3,Y
2015-08-21 23:28:51,957P7K4IWZ84,4,Y
2023-04-02 23:28:51,957P7K4IWZ84,1,Y
2018-08-22 23:28:51,957P7K4IWZ84,0,X
2020-01-25 23:28:51,957P7K4IWZ84,3,Y
2015-11-17 23:28:51,957P7K4IWZ84,1,X
2023-07-29 23:28:51,957P7K4IWZ84,5,Y
2015-09-15 23:28:51,957P7K4IWZ84,1,X
2022-07-22 23:28:51,957P7K4IWZ84,2,X
2024-08-24 23:28:51,957P7K4IWZ84,3,X
2020-05-09 23:28:51,957P7K4IWZ84,5,X
2017-06-18 23:28:51,957P7K4IWZ84,1,Y
2018-10-19 23:28:51,957P7K4IWZ84,3,Y
2023-10-06 23:28:51,957P7K4IWZ84,0,X
2022-11-27 23:28:51,957P7K4IWZ84,4,X
2021-12-12 23:28:51,957P7K4IWZ84,0,X
2021-08-10 23:28:51,957P7K4IWZ84,1,Y
2022-11-21 23:28:51,957P7K4IWZ84,5,X
2020-10-24 23:28:51,957P7K4IWZ84,3,Y
2017-07-19 23:28:51,957P7K4IWZ84,2,Y
2024-08-06 23:28:51,957P7K4IWZ84,1,X
2022-07-21 23:28:51,957P7K4IWZ84,1,Y
2023-11-30 23:28:51,957P7K4IWZ84,5,Y
2024-12-25 23:28:51,957P7K4IWZ84,4,X
2024-06-20 23:28:51,957P7K4IWZ84,5,Y
2018-06-08 23:28:51,957P7K4IWZ84,4,Y
2024-01-29 23:28:51,957P7K4IWZ84,3,Y
2016-03-18 23:28:51,957P7K4IWZ84,3,X
2016-10-26 23:28:51,957P7K4IWZ84,4,Y
2022-12-12 23:28:51,957P7K4IWZ84,2,Y
2024-05-02 23:28:51,957P7K4IWZ84,4,X
2021-02-12 23:28:51,957P7K4IWZ84,5,Y
2021-09-07 23:28:51,957P7K4IWZ84,2,X
2017-07-09 23:28:51,957P7K4IWZ84,4,Y
2018-08-28 23:28:51,957P7K4IWZ84,1,Y
2022-03-05 23:28:51,957P7K4IWZ84,0,Y
2023-05-02 23:28:51,957P7K4IWZ84,0,X
2021-12-20 23:28:51,957P7K4IWZ84,5,X
2022-02-22 23:28:51,957P7K4IWZ84,5,Y
2024-07-19 23:28:51,957P7K4IWZ84,3,X
2016-06-29 23:28:51,957P7K4IWZ84,3,X
2019-12-12 23:28:51,957P7K4IWZ84,5,X
2022-01-04 23:28:51,957P7K4IWZ84,5,X
2017-08-09 23:28:51,957P7K4IWZ84,1,Y
2017-11-26 23:28:51,957P7K4IWZ84,0,X
2022-09-25 23:28:51,957P7K4IWZ84,2,X
2023-11-04 23:28:51,957P7K4IWZ84,1,Y
2023-01-20 23:28:51,957P7K4IWZ84,5,Y
2024-12-28 23:28:51,957P7K4IWZ84,1,X
2024-12-27 23:28:51,957P7K4IWZ84,4,Y
2017-08-05 23:28:51,957P7K4IWZ84,0,X
2017-12-29 23:28:51,957P7K4IWZ84,4,X
2015-04-16 23:28:51,957P7K4IWZ84,1,X
2016-04-28 23:28:51,957P7K4IWZ84,3,X
2019-06-06 23:28:51,957P7K4IWZ84,3,X
2018-05-31 23:28:51,957P7K4IWZ84,1,Y
2017-12-22 23:28:51,18FL67R0D5PQ,1,X
2019-06-09 23:28:51,18FL67R0D5PQ,2,Y
2024-01-25 23:28:51,18FL67R0D5PQ,5,Y
2023-07-22 23:28:51,18FL67R0D5PQ,5,X
2015-03-05 23:28:51,18FL67R0D5PQ,3,Y
2017-12-14 23:28:51,18FL67R0D5PQ,5,X
2018-10-14 23:28:51,18FL67R0D5PQ,5,Y
2021-05-06 23:28:51,18FL67R0D5PQ,4,Y
2021-12-19 23:28:51,18FL67R0D5PQ,3,Y
2019-02-01 23:28:51,18FL67R0D5PQ,1,Y
2015-04-09 23:28:51,18FL67R0D5PQ,0,X
2019-01-18 23:28:51,18FL67R0D5PQ,0,Y
2020-05-26 23:28:51,18FL67R0D5PQ,5,X
2017-01-22 23:28:51,18FL67R0D5PQ,2,Y
2016-04-02 23:28:51,18FL67R0D5PQ,4,Y
2021-07-17 23:28:51,18FL67R0D5PQ,0,Y
2017-12-04 23:28:51,18FL67R0D5PQ,2,X
2022-12-25 23:28:51,18FL67R0D5PQ,2,Y
2021-12-01 23:28:51,18FL67R0D5PQ,4,Y
2016-01-15 23:28:51,18FL67R0D5PQ,3,X
2023-09-19 23:28:51,18FL67R0D5PQ,1,X
2015-02-24 23:28:51,18FL67R0D5PQ,0,Y
2017-05-11 23:28:51,18FL67R0D5PQ,3,Y
2021-11-10 23:28:51,18FL67R0D5PQ,3,Y
2022-02-11 23:28:51,18FL67R0D5PQ,0,X
2024-01-15 23:28:51,18FL67R0D5PQ,0,Y
2023-12-19 23:28:51,18FL67R0D5PQ,0,X
2020-01-02 23:28:51,18FL67R0D5PQ,4,Y
2021-08-14 23:28:51,18FL67R0D5PQ,5,Y
2024-01-21 23:28:51,18FL67R0D5PQ,2,Y
2023-05-11 23:28:51,18FL67R0D5PQ,2,X
2015-12-22 23:28:51,18FL67R0D5PQ,2,Y
2018-11-24 23:28:51,18FL67R0D5PQ,1,Y
2018-05-02 23:28:51,18FL67R0D5PQ,4,Y
2021-11-05 23:28:51,18FL67R0D5PQ,3,Y
2015-04-24 23:28:51,18FL67R0D5PQ,4,X
2016-02-15 23:28:51,18FL67R0D5PQ,0,Y
2015-07-17 23:28:51,18FL67R0D5PQ,5,Y
2021-08-09 23:28:51,18FL67R0D5PQ,3,Y
2017-01-25 23:28:51,18FL67R0D5PQ,1,X
2024-02-06 23:28:51,18FL67R0D5PQ,0,Y
2023-05-08 23:28:51,18FL67R0D5PQ,3,X
2020-08-28 23:28:51,NQZL8CZM4DNT,2,Y
2018-07-25 23:28:51,NQZL8CZM4DNT,2,X
2018-08-23 23:28:51,NQZL8CZM4DNT,0,X
2016-08-15 23:28:51,NQZL8CZM4DNT,3,Y
2019-05-03 23:28:51,NQZL8CZM4DNT,3,Y
2019-01-31 23:28:51,NQZL8CZM4DNT,3,X
2021-07-09 23:28:51,NQZL8CZM4DNT,1,Y
2020-02-14 23:28:51,NQZL8CZM4DNT,4,Y
2021-05-18 23:28:51,NQZL8CZM4DNT,5,X
2018-09-10 23:28:51,NQZL8CZM4DNT,2,Y
2019-05-29 23:28:51,NQZL8CZM4DNT,2,X
2016-11-14 23:28:51,NQZL8CZM4DNT,0,Y
2017-06-15 23:28:51,NQZL8CZM4DNT,1,Y
2018-02-11 23:28:51,NQZL8CZM4DNT,4,X
2023-10-09 23:28:51,NQZL8CZM4DNT,1,Y
2020-07-25 23:28:51,NQZL8CZM4DNT,3,Y
2021-05-02 23:28:51,NQZL8CZM4DNT,2,X
2019-06-25 23:28:51,NQZL8CZM4DNT,4,X
2023-10-22 23:28:51,NQZL8CZM4DNT,0,X
2020-10-25 23:28:51,NQZL8CZM4DNT,2,Y
2018-03-19 23:28:51,NQZL8CZM4DNT,0,X
2018-03-06 23:28:51,NQZL8CZM4DNT,1,Y
2016-08-27 23:28:51,NQZL8CZM4DNT,2,X
2020-07-24 23:28:51,NQZL8CZM4DNT,3,Y
2016-03-28 23:28:51,NQZL8CZM4DNT,5,X
2017-12-18 23:28:51,NQZL8CZM4DNT,0,X
2023-10-20 23:28:51,NQZL8CZM4DNT,4,Y
2024-12-14 23:28:51,NQZL8CZM4DNT,5,Y
2015-03-27 23:28:51,NQZL8CZM4DNT,2,Y
2018-08-21 23:28:51,NQZL8CZM4DNT,3,Y
2018-07-03 23:28:51,NQZL8CZM4DNT,5,X
2020-02-11 23:28:51,NQZL8CZM4DNT,3,X
2016-11-27 23:28:51,NQZL8CZM4DNT,1,Y
2015-02-04 23:28:51,NQZL8CZM4DNT,2,X
2023-10-12 23:28:51,NQZL8CZM4DNT,2,Y
2020-01-28 23:28:51,NQZL8CZM4DNT,0,Y
2021-09-17 23:28:51,NQZL8CZM4DNT,3,Y
2022-11-04 23:28:51,NQZL8CZM4DNT,4,X
2017-09-02 23:28:51,NQZL8CZM4DNT,3,Y
2016-09-19 23:28:51,NQZL8CZM4DNT,4,X
2022-09-14 23:28:51,NQZL8CZM4DNT,1,X
2024-04-19 23:28:51,NQZL8CZM4DNT,3,Y
2018-07-08 23:28:51,NQZL8CZM4DNT,5,Y
2016-07-08 23:28:51,NQZL8CZM4DNT,4,Y
2016-03-10 23:28:51,NQZL8CZM4DNT,3,Y
2016-06-16 23:28:51,NQZL8CZM4DNT,0,X
2018-07-22 23:28:51,NQZL8CZM4DNT,5,X
2016-03-14 23:28:51,NQZL8CZM4DNT,1,X
2016-12-23 23:28:51,NQZL8CZM4DNT,3,Y
2021-01-20 23:28:51,NQZL8CZM4DNT,5,X
2018-01-20 23:28:51,NQZL8CZM4DNT,5,Y
2019-06-06 23:28:51,NQZL8CZM4DNT,3,Y
2024-10-23 23:28:51,NQZL8CZM4DNT,1,Y
2016-04-19 23:28:51,NQZL8CZM4DNT,3,Y
2021-05-12 23:28:51,NQZL8CZM4DNT,5,X
2017-08-25 23:28:51,NQZL8CZM4DNT,0,X
2024-10-01 23:28:51,NQZL8CZM4DNT,4,Y
2020-10-11 23:28:51,NQZL8CZM4DNT,5,X
2017-01-25 23:28:51,NQZL8CZM4DNT,5,Y
2019-10-16 23:28:51,NQZL8CZM4DNT,3,X
2017-02-25 23:28:51,NQZL8CZM4DNT,1,X
2016-10-05 23:28:51,NQZL8CZM4DNT,4,Y
2015-04-22 23:28:51,NQZL8CZM4DNT,1,Y
2015-11-17 23:28:51,NQZL8CZM4DNT,4,Y
2025-01-19 23:28:51,NQZL8CZM4DNT,0,Y
2020-12-12 23:28:51,NQZL8CZM4DNT,5,X
2017-10-08 23:28:51,NQZL8CZM4DNT,2,X
2016-11-20 23:28:51,NQZL8CZM4DNT,1,Y
2016-08-27 23:28:51,NQZL8CZM4DNT,2,Y
2016-07-08 23:28:51,NQZL8CZM4DNT,0,X
2021-07-10 23:28:51,NQZL8CZM4DNT,1,X
2020-05-09 23:28:51,NQZL8CZM4DNT,0,Y
2025-01-03 23:28:51,NQZL8CZM4DNT,0,Y
2018-03-11 23:28:51,NQZL8CZM4DNT,1,X
2023-02-27 23:28:51,NQZL8CZM4DNT,2,X
2021-06-13 23:28:51,NQZL8CZM4DNT,0,Y
2018-05-28 23:28:51,NQZL8CZM4DNT,2,X
2019-12-22 23:28:51,NQZL8CZM4DNT,4,Y
2024-02-05 23:28:51,NQZL8CZM4DNT,3,X
2016-09-15 23:28:51,NQZL8CZM4DNT,1,X
2019-03-28 23:28:51,NQZL8CZM4DNT,4,Y
2018-02-06 23:28:51,NQZL8CZM4DNT,4,X
2020-11-25 23:28:51,2IWXP0DI8XVY,4,Y
2015-07-19 23:28:51,2IWXP0DI8XVY,0,X
2019-01-15 23:28:51,2IWXP0DI8XVY,0,X
2019-05-02 23:28:51,2IWXP0DI8XVY,4,Y
2023-04-30 23:28:51,2IWXP0DI8XVY,5,X
2021-09-22 23:28:51,2IWXP0DI8XVY,0,Y
2020-09-12 23:28:51,2IWXP0DI8XVY,0,Y
2023-04-11 23:28:51,2IWXP0DI8XVY,1,Y
2015-02-05 23:28:51,2IWXP0DI8XVY,0,X
2018-11-08 23:28:51,2IWXP0DI8XVY,1,Y
2016-11-26 23:28:51,2IWXP0DI8XVY,2,Y
2016-04-30 23:28:51,2IWXP0DI8XVY,4,X
2020-09-23 23:28:51,2IWXP0DI8XVY,2,Y
2021-07-06 23:28:51,2IWXP0DI8XVY,3,Y
2016-10-22 23:28:51,2IWXP0DI8XVY,5,X
2019-01-25 23:28:51,2IWXP0DI8XVY,0,X
2019-10-07 23:28:51,2IWXP0DI8XVY,0,Y
2022-10-09 23:28:51,2IWXP0DI8XVY,3,X
2017-08-26 23:28:51,2IWXP0DI8XVY,0,X
2022-11-24 23:28:51,2IWXP0DI8XVY,4,Y
2021-11-27 23:28:51,2IWXP0DI8XVY,2,X
2016-01-13 23:28:51,2IWXP0DI8XVY,0,Y
2023-08-10 23:28:51,2IWXP0DI8XVY,0,X
2019-12-07 23:28:51,2IWXP0DI8XVY,4,X
2018-11-18 23:28:51,2IWXP0DI8XVY,4,X
2021-11-23 23:28:51,2IWXP0DI8XVY,2,Y
2015-03-13 23:28:51,2IWXP0DI8XVY,4,Y
2021-12-29 23:28:51,2IWXP0DI8XVY,0,Y
2016-07-10 23:28:51,2IWXP0DI8XVY,0,Y
2019-02-15 23:28:51,2IWXP0DI8XVY,2,X
2023-06-26 23:28:51,2IWXP0DI8XVY,2,X
2024-09-28 23:28:51,2IWXP0DI8XVY,3,X
2023-05-13 23:28:51,2IWXP0DI8XVY,5,Y
2024-12-13 23:28:51,2IWXP0DI8XVY,2,Y
2025-01-16 23:28:51,2IWXP0DI8XVY,4,X
2017-12-16 23:28:51,2IWXP0DI8XVY,3,Y
2017-12-17 23:28:51,2IWXP0DI8XVY,1,X
2024-10-25 23:28:51,2IWXP0DI8XVY,1,X
2019-12-23 23:28:51,2IWXP0DI8XVY,4,X
2023-09-23 23:28:51,2IWXP0DI8XVY,3,Y
2023-09-16 23:28:51,2IWXP0DI8XVY,0,X
2024-12-03 23:28:51,2IWXP0DI8XVY,1,X
2017-04-23 23:28:51,2IWXP0DI8XVY,4,Y
2023-05-03 23:28:51,2IWXP0DI8XVY,4,X
2018-04-01 23:28:51,2IWXP0DI8XVY,4,Y
2024-12-30 23:28:51,2IWXP0DI8XVY,0,Y
2023-07-13 23:28:51,2IWXP0DI8XVY,1,Y
2018-01-16 23:28:51,2IWXP0DI8XVY,1,X
2024-05-14 23:28:51,2IWXP0DI8XVY,2,X
2019-11-21 23:28:51,2IWXP0DI8XVY,0,X
2017-01-31 23:28:51,2IWXP0DI8XVY,4,X
2018-04-24 23:28:51,2IWXP0DI8XVY,5,Y
2018-06-22 23:28:51,2IWXP0DI8XVY,3,X
2016-08-30 23:28:51,2IWXP0DI8XVY,3,Y
2021-06-18 23:28:51,2IWXP0DI8XVY,0,X
2018-02-10 23:28:51,2IWXP0DI8XVY,3,Y
2018-10-03 23:28:51,2IWXP0DI8XVY,2,X
2020-12-09 23:28:51,2IWXP0DI8XVY,3,X
2016-07-23 23:28:51,2IWXP0DI8XVY,4,Y
2017-10-06 23:28:51,2IWXP0DI8XVY,3,Y
2022-03-21 23:28:51,2IWXP0DI8XVY,0,Y
2023-02-08 23:28:51,2IWXP0DI8XVY,5,X
2022-11-03 23:28:51,2IWXP0DI8XVY,4,X
2021-12-07 23:28:51,2IWXP0DI8XVY,2,X
2015-03-03 23:28:51,2IWXP0DI8XVY,1,X
2015-07-05 23:28:51,2IWXP0DI8XVY,1,Y
2024-11-30 23:28:51,2IWXP0DI8XVY,0,Y
2021-01-31 23:28:51,2IWXP0DI8XVY,5,Y
2023-07-07 23:28:51,2IWXP0DI8XVY,4,X
2021-04-20 23:28:51,2IWXP0DI8XVY,1,Y
2023-10-23 23:28:51,2IWXP0DI8XVY,0,Y
2024-11-21 23:28:51,2IWXP0DI8XVY,5,X
2021-05-03 23:28:51,2IWXP0DI8XVY,2,Y
2023-07-31 23:28:51,2IWXP0DI8XVY,5,X
2015-05-03 23:28:51,2IWXP0DI8XVY,0,X
2017-10-25 23:28:51,2IWXP0DI8XVY,0,Y
2021-05-22 23:28:51,2IWXP0DI8XVY,3,X
2024-10-12 23:28:51,2IWXP0DI8XVY,4,X
